OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610517;1961;5;17;3355000;6705000;9.5;13.5;5.5;0.0;20376;6.65;70.90;143.0
Vihti;355641;6700134;Vihti;226;19610518;1961;5;18;3355000;6705000;8.1;14.0;-0.3;0.0;16553;7.25;74.00;143.0
Vihti;355641;6700134;Vihti;226;19610519;1961;5;19;3355000;6705000;9.3;13.9;3.3;2.0;12251;9.12;78.30;145.0
Vihti;355641;6700134;Vihti;226;19610520;1961;5;20;3355000;6705000;9.1;10.8;7.0;4.0;8872;10.40;82.40;149.0
Vihti;355641;6700134;Vihti;226;19610521;1961;5;21;3355000;6705000;8.2;11.3;7.9;2.0;11427;9.14;85.60;151.0
Vihti;355641;6700134;Vihti;226;19610522;1961;5;22;3355000;6705000;6.9;12.7;1.8;0.0;20653;6.06;87.50;151.0
Vihti;355641;6700134;Vihti;226;19610523;1961;5;23;3355000;6705000;8.9;12.4;6.4;0.0;14948;8.15;91.40;151.0
Vihti;355641;6700134;Vihti;226;19610524;1961;5;24;3355000;6705000;8.8;13.1;2.7;0.0;14660;9.02;95.20;151.0
Vihti;355641;6700134;Vihti;226;19610525;1961;5;25;3355000;6705000;12.0;15.6;8.1;0.0;25523;8.06;102.20;151.0
Vihti;355641;6700134;Vihti;226;19610526;1961;5;26;3355000;6705000;11.7;17.9;-0.1;0.0;24413;7.66;108.90;151.0
Vihti;355641;6700134;Vihti;226;19610527;1961;5;27;3355000;6705000;11.9;17.9;0.6;0.0;23040;7.98;115.80;151.0
Vihti;355641;6700134;Vihti;226;19610528;1961;5;28;3355000;6705000;14.6;21.2;5.7;0.0;22183;11.56;125.40;151.0
Vihti;355641;6700134;Vihti;226;19610529;1961;5;29;3355000;6705000;18.4;25.3;8.4;0.0;25724;12.74;138.80;151.0
Vihti;355641;6700134;Vihti;226;19610530;1961;5;30;3355000;6705000;21.4;27.3;10.6;0.0;22531;13.75;155.20;151.0
Vihti;355641;6700134;Vihti;226;19610531;1961;5;31;3355000;6705000;20.6;27.6;12.4;0.0;25138;12.67;170.80;151.0
Vihti;355641;6700134;Vihti;226;19610601;1961;6;1;3355000;6705000;20.4;27.2;7.2;0.0;27159;12.87;186.20;151.0
Vihti;355641;6700134;Vihti;226;19610602;1961;6;2;3355000;6705000;20.3;26.5;10.5;0.0;22312;14.75;201.50;151.0
Vihti;355641;6700134;Vihti;226;19610603;1961;6;3;3355000;6705000;19.4;25.9;12.8;0.0;25570;12.11;215.90;151.0
Vihti;355641;6700134;Vihti;226;19610604;1961;6;4;3355000;6705000;18.6;25.9;5.9;0.0;28209;10.55;229.50;151.0
Vihti;355641;6700134;Vihti;226;19610605;1961;6;5;3355000;6705000;19.9;26.7;5.5;0.0;28485;11.01;244.40;151.0
Vihti;355641;6700134;Vihti;226;19610606;1961;6;6;3355000;6705000;20.4;27.7;7.7;0.0;27921;12.14;259.80;151.0
Vihti;355641;6700134;Vihti;226;19610607;1961;6;7;3355000;6705000;20.3;27.3;7.3;0.0;26996;12.38;275.10;151.0
Vihti;355641;6700134;Vihti;226;19610608;1961;6;8;3355000;6705000;20.1;27.1;8.6;1.0;23505;14.26;290.20;152.0
Vihti;355641;6700134;Vihti;226;19610609;1961;6;9;3355000;6705000;18.1;22.1;15.7;0.0;14215;16.73;303.30;152.0
Vihti;355641;6700134;Vihti;226;19610610;1961;6;10;3355000;6705000;18.3;23.8;11.2;0.0;25452;14.89;316.60;152.0
Vihti;355641;6700134;Vihti;226;19610611;1961;6;11;3355000;6705000;19.4;26.8;7.8;9.0;24609;16.46;331.00;161.0
Vihti;355641;6700134;Vihti;226;19610612;1961;6;12;3355000;6705000;19.7;24.3;13.3;0.0;22481;17.46;345.70;161.0
Vihti;355641;6700134;Vihti;226;19610613;1961;6;13;3355000;6705000;19.1;24.3;13.0;3.0;22306;17.16;359.80;164.0
Vihti;355641;6700134;Vihti;226;19610614;1961;6;14;3355000;6705000;17.2;20.9;13.3;0.0;14856;15.99;372.00;164.0
Vihti;355641;6700134;Vihti;226;19610615;1961;6;15;3355000;6705000;18.1;23.8;8.1;11.0;18033;15.89;385.10;175.0
Vihti;355641;6700134;Vihti;226;19610616;1961;6;16;3355000;6705000;16.5;20.5;14.2;3.0;16716;16.67;396.60;178.0
Vihti;355641;6700134;Vihti;226;19610617;1961;6;17;3355000;6705000;15.8;20.9;8.3;0.0;22284;13.89;407.40;178.0
Vihti;355641;6700134;Vihti;226;19610618;1961;6;18;3355000;6705000;13.5;17.2;8.1;9.0;9755;14.83;415.90;187.0
Vihti;355641;6700134;Vihti;226;19610619;1961;6;19;3355000;6705000;13.9;18.0;9.4;2.0;20705;11.20;424.80;189.0
Vihti;355641;6700134;Vihti;226;19610620;1961;6;20;3355000;6705000;13.4;16.6;7.3;0.0;23046;8.42;433.20;189.0
Vihti;355641;6700134;Vihti;226;19610621;1961;6;21;3355000;6705000;11.0;16.5;1.8;0.0;17144;10.51;439.20;189.0
Vihti;355641;6700134;Vihti;226;19610622;1961;6;22;3355000;6705000;12.6;18.2;5.7;0.0;24218;10.08;446.80;189.0
Vihti;355641;6700134;Vihti;226;19610623;1961;6;23;3355000;6705000;12.6;17.1;7.1;2.0;17237;12.12;454.40;191.0
Vihti;355641;6700134;Vihti;226;19610624;1961;6;24;3355000;6705000;12.6;17.2;10.3;7.0;17380;11.80;462.00;198.0
Vihti;355641;6700134;Vihti;226;19610625;1961;6;25;3355000;6705000;11.9;18.5;5.7;4.0;18936;11.31;468.90;202.0
Vihti;355641;6700134;Vihti;226;19610626;1961;6;26;3355000;6705000;14.8;19.6;10.1;0.0;22791;10.97;478.70;202.0
Vihti;355641;6700134;Vihti;226;19610627;1961;6;27;3355000;6705000;12.2;17.6;5.3;8.0;12964;12.69;485.90;210.0
Vihti;355641;6700134;Vihti;226;19610628;1961;6;28;3355000;6705000;14.4;17.0;11.8;0.0;14707;13.84;495.30;210.0
Vihti;355641;6700134;Vihti;226;19610629;1961;6;29;3355000;6705000;15.6;20.9;7.8;0.0;27486;9.77;505.90;210.0
Vihti;355641;6700134;Vihti;226;19610630;1961;6;30;3355000;6705000;14.9;18.4;10.8;0.0;28378;8.59;515.80;210.0
Vihti;355641;6700134;Vihti;226;19610701;1961;7;1;3355000;6705000;14.5;21.9;2.9;0.0;23511;11.96;525.30;210.0
Vihti;355641;6700134;Vihti;226;19610702;1961;7;2;3355000;6705000;18.7;24.5;9.8;0.0;20258;12.91;539.00;210.0
Vihti;355641;6700134;Vihti;226;19610703;1961;7;3;3355000;6705000;16.7;23.7;7.8;0.0;23227;13.90;550.70;210.0
Vihti;355641;6700134;Vihti;226;19610704;1961;7;4;3355000;6705000;13.1;18.1;9.3;1.0;12378;12.29;558.80;211.0
Vihti;355641;6700134;Vihti;226;19610705;1961;7;5;3355000;6705000;13.3;17.8;9.4;5.0;13752;13.33;567.10;216.0
Vihti;355641;6700134;Vihti;226;19610706;1961;7;6;3355000;6705000;14.8;17.7;10.6;0.0;19759;11.08;576.90;216.0
Vihti;355641;6700134;Vihti;226;19610707;1961;7;7;3355000;6705000;10.5;17.1;3.0;7.0;14840;11.38;582.40;223.0
Vihti;355641;6700134;Vihti;226;19610708;1961;7;8;3355000;6705000;13.5;18.8;8.0;0.0;20551;11.28;590.90;223.0
Vihti;355641;6700134;Vihti;226;19610709;1961;7;9;3355000;6705000;14.1;20.2;3.2;0.0;23039;10.88;600.00;223.0
